NOME,VALOR[R$],TIPO,AREA[M2],QUARTOS,BANHEIROS,VAGAS GARAGEM,CONDOMINIO[R$],IPTU[R$],LOGRADOURO,MUNICIPIO,BAIRRO,CEP,IMAGENS,CODIGO,DATA_ANUNCIO,LINK,GASTOS_ANO[R$],Academia,Ar condicionado,Armários na cozinha,Armários no quarto,Churrasqueira,Condomínio fechado,Elevador,Mobiliado,Permitido animais,Piscina,Portaria,Porteiro 24h,Portão eletrônico,Quarto de serviço,Salão de festas,Segurança 24h,Varanda,Área de serviço,Área murada,LATITUDE,LONGITUDE
Apartamento no Ed. Oasis no Itacorubi.,550000,Apartamento padrão,75,3,2,1,480,80,Rodovia Amaro Antônio Vieira - até 1310/1311,Florianópolis,Itacorubi,88034101,,1119430698,27/03 às 12:28,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-no-ed-oasis-no-itacorubi-1119430698,5840,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,,
Casa - Palhoça SC,2170000,Casa em rua pública,282,4,3,4,600,694,Rua João Bernadino da Rosa,Palhoça,Pedra Branca,88137010,,1144903659,27/03 às 12:28,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-palhoca-sc-1144903659,7894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Casa - Palhoça SC,425000,Casa em rua pública,110,2,1,1,0,0,Rua Monte Cambirela,Palhoça,Praia de Fora,88138700,,986271602,27/03 às 12:28,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-palhoca-sc-986271602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.7511776,-48.6289668
Apartamento para venda tem 64 metros quadrados com 2 quartos em Coloninha - Florianópolis ,550000,Apartamento padrão,64,2,2,1,350,0,Rua Pedro Cunha - de 573/574 ao fim,Florianópolis,Coloninha,88070501,,1154737386,27/03 às 12:28,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-venda-tem-64-metros-quadrados-com-2-quartos-em-coloninha-florianopolis-1154737386,4200,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,,
Apartamento para venda com 61 metros quadrados com 2 quartos em Itacorubi - Florianópolis ,580000,Apartamento padrão,61,2,1,1,527,617,Rodovia Amaro Antônio Vieira - de 1312/1313 ao fim,Florianópolis,Itacorubi,88034102,,1139472220,27/03 às 12:28,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-venda-com-61-metros-quadrados-com-2-quartos-em-itacorubi-florianopolis-1139472220,6941,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,,
Apartamento para venda com 114 metros quadrados com 3 quartos em Canto - Florianópolis - S,770000,Apartamento padrão,114,3,2,1,910,1401,Rua Araci Vaz Callado - até 1560/1561,Florianópolis,Canto,88070750,,1152808224,27/03 às 12:28,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-venda-com-114-metros-quadrados-com-3-quartos-em-canto-florianopolis-s-1152808224,12321,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,,
Casa em condomínio para venda com 209 metros quadrados com 4 quartos em Cacupé - Florianóp,2679295,Casa em condominio fechado,209,4,5 ou mais,2,0,0,Estrada Haroldo Soares Glavan,Florianópolis,Cacupé,88050005,,1063940079,27/03 às 12:28,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-em-condominio-para-venda-com-209-metros-quadrados-com-4-quartos-em-cacupe-florianop-1063940079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.5356851,-48.5266881
Apartamento novo de 2 dormitórios com suíte Nações Unidas Criciúma com parcelamento direto,336000,Apartamento padrão,60,2,2,1,260,650,Avenida Centenário - lado par,Criciúma,Pinheirinho,88804000,,1040915081,27/03 às 12:28,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-novo-de-2-dormitorios-com-suite-nacoes-unidas-criciuma-com-parcelamento-direto-1040915081,3770,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,,
Apartamento mobiliado com 3 dormitórios e 2 garagens Residencial Stuttgart centro de Crici,850000,Apartamento padrão,90,3,2,2,400,900,Rua Afonso Celso,Criciúma,Centro,88802195,,1134192159,27/03 às 12:28,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-mobiliado-com-3-dormitorios-e-2-garagens-residencial-stuttgart-centro-de-crici-1134192159,5700,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,-28.6816562,-49.3700366
"Casa com 3 dormitórios à venda, 178 m² por R$ 420.000,00 - Jardim Janaína - Biguaçu/SC",420000,Casa em rua pública,178,3,2,2,0,0,Rua Bernardino Prudencio de Amorim,Biguaçu,Jardim Janaína,88162030,,1135869245,27/03 às 12:28,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-com-3-dormitorios-a-venda-178-m-por-r-420-000-00-jardim-janaina-biguacu-sc-1135869245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.5212196,-48.6393898
"Cobertura com 4 dormitórios à venda, 180 m² por R$ 1.700.000,00 - Centro - Florianópolis/S",1700000,Apartamento cobertura,180,4,3,2,800,2162,Avenida Mauro Ramos - até 1053 - lado ímpar,Florianópolis,Centro,88020301,,1050846119,27/03 às 12:28,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/cobertura-com-4-dormitorios-a-venda-180-m-por-r-1-700-000-00-centro-florianopolis-s-1050846119,11762,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
"Apartamento com 3 dormitórios à venda, 145 m² por R$ 750.000,00 - Itaguaçu - Florianópolis",750000,Apartamento padrão,145,3,3,1,980,251,Rua João Meirelles - até 595/596,Florianópolis,Itaguaçu,88085435,,954213678,27/03 às 12:28,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-145-m-por-r-750-000-00-itaguacu-florianopolis-954213678,12011,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,,
